# Copyright (C) 2025  Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus Prime License Agreement,
# the Altera IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Altera and sold by Altera or its authorized distributors.  Please
# refer to the Altera Software License Subscription Agreements 
# on the Quartus Prime software download page.

# Quartus Prime Version 24.1std.0 Build 1077 03/04/2025 SC Lite Edition
# File: D:\Projetos_CD\PBL1\v2 pbl\ULAv1.csv
# Generated on: Thu Sep 18 20:46:24 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
A[3],Input,PIN_F15,7,B7_N0,PIN_F15,2.5 V,,,,,
A[2],Input,PIN_B14,7,B7_N0,PIN_B14,2.5 V,,,,,
A[1],Input,PIN_A14,7,B7_N0,PIN_A14,2.5 V,,,,,
A[0],Input,PIN_A13,7,B7_N0,PIN_A13,2.5 V,,,,,
B[3],Input,PIN_B12,7,B7_N0,PIN_B12,2.5 V,,,,,
B[2],Input,PIN_A12,7,B7_N0,PIN_A12,2.5 V,,,,,
B[1],Input,PIN_C12,7,B7_N0,PIN_C12,2.5 V,,,,,
B[0],Input,PIN_D12,7,B7_N0,PIN_D12,2.5 V,,,,,
Cin,Input,PIN_B8,7,B7_N0,PIN_B8,2.5 V,,,,,
Cout,Output,PIN_B11,7,B7_N0,PIN_J12,2.5 V,,,,,
ERRO,Output,PIN_C13,7,B7_N0,PIN_J13,,,,,,
OV,Output,PIN_A11,7,B7_N0,PIN_D14,2.5 V,,,,,
SEL[2],Input,PIN_A7,7,B7_N0,PIN_A7,2.5 V,,,,,
SEL[1],Input,PIN_C11,7,B7_N0,PIN_C11,2.5 V,,,,,
SEL[0],Input,PIN_C10,7,B7_N0,PIN_C10,2.5 V,,,,,
Zero,Output,PIN_A8,7,B7_N0,PIN_A15,,,,,,
dis1[6],Output,PIN_C17,7,B7_N0,PIN_C17,2.5 V,,,,,
dis1[5],Output,PIN_D17,7,B7_N0,PIN_D17,2.5 V,,,,,
dis1[4],Output,PIN_E16,7,B7_N0,PIN_E16,2.5 V,,,,,
dis1[3],Output,PIN_C16,7,B7_N0,PIN_C16,2.5 V,,,,,
dis1[2],Output,PIN_C15,7,B7_N0,PIN_C15,2.5 V,,,,,
dis1[1],Output,PIN_E15,7,B7_N0,PIN_E15,2.5 V,,,,,
dis1[0],Output,PIN_C14,7,B7_N0,PIN_C14,2.5 V,,,,,
dis2[6],Output,PIN_B17,7,B7_N0,PIN_B17,2.5 V,,,,,
dis2[5],Output,PIN_A18,7,B7_N0,PIN_A18,2.5 V,,,,,
dis2[4],Output,PIN_A17,7,B7_N0,PIN_A17,2.5 V,,,,,
dis2[3],Output,PIN_B16,7,B7_N0,PIN_B16,2.5 V,,,,,
dis2[2],Output,PIN_E18,6,B6_N0,PIN_E18,2.5 V,,,,,
dis2[1],Output,PIN_D18,6,B6_N0,PIN_D18,2.5 V,,,,,
dis2[0],Output,PIN_C18,7,B7_N0,PIN_C18,2.5 V,,,,,
dis3[6],Output,PIN_B22,6,B6_N0,PIN_B22,2.5 V,,,,,
dis3[5],Output,PIN_C22,6,B6_N0,PIN_C22,2.5 V,,,,,
dis3[4],Output,PIN_B21,6,B6_N0,PIN_B21,2.5 V,,,,,
dis3[3],Output,PIN_A21,6,B6_N0,PIN_A21,2.5 V,,,,,
dis3[2],Output,PIN_B19,7,B7_N0,PIN_B19,2.5 V,,,,,
dis3[1],Output,PIN_A20,7,B7_N0,PIN_A20,2.5 V,,,,,
dis3[0],Output,PIN_B20,6,B6_N0,PIN_B20,2.5 V,,,,,
dis4[6],Output,PIN_N20,6,B6_N0,PIN_H13,,,,,,
dis4[5],Output,PIN_N19,6,B6_N0,PIN_E13,,,,,,
dis4[4],Output,PIN_M20,6,B6_N0,PIN_A10,,,,,,
dis4[3],Output,PIN_N18,6,B6_N0,PIN_A11,,,,,,
dis4[2],Output,PIN_L18,6,B6_N0,PIN_E12,,,,,,
dis4[1],Output,PIN_K20,6,B6_N0,PIN_D13,,,,,,
dis4[0],Output,PIN_J20,6,B6_N0,PIN_H12,,,,,,
